place_id,name,name_my,category,category_my,house_number,house_number_my,full_address,full_address_my,township,township_my,district,district_my,sub_region,sub_region_my,postal_code,lat,lon,phone,rating,review_count,website,city,embed_text
1138,(Kha)Ward Council,(ခ)ရပ်ကွက်အုပ်ချုပ်ရေးမှူးရုံး,Government Office,ရုံးခန်းနှင့် လူနေအိမ်ရာ,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.828499,96.197638,,4.8,424,,Yangon,Name: (Kha)Ward Council ((ခ)ရပ်ကွက်အုပ်ချုပ်ရေးမှူးရုံး). Category: Government Office. Address: Thingangyun. Township: Thingangyun. District: Yangon East
370,1 Stop Mart,ဝမ်းစတော့ပ်မတ်,Mini Mart,စျေးနှင့် ကုန်စုံဆိုင်,1-Sep,1^9,"1/9 Than Thu Mar Road, Ward-29 Thuwunna, Thingangyun, Yangon","၁^၉, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၉)ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.821438,96.20342,,4,520,,Yangon,"Name: 1 Stop Mart (ဝမ်းစတော့ပ်မတ်). Category: Mini Mart. House Number: 1-Sep. Address: ၁^၉, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၉)ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
589,1 Stop Motor Service,1 Stop Motor Service,Shop,အထွေထွေအမျိုးအစား,,,"Sa Kha Ward (TGGN), Thingangyun","Sa Kha Ward (TGGN), Thingangyun",Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.8345,96.1968,,4.9,577,,Yangon,"Name: 1 Stop Motor Service. Category: Shop. Address: Sa Kha Ward (TGGN), Thingangyun. Township: Thingangyun. District: Yangon East"
409,16 Yadanar Market,16 Yadanar Market,Market,စျေးနှင့် ကုန်စုံဆိုင်,,,"16\1 Ward (TGGN), Thingangyun","16\1 Ward (TGGN), Thingangyun",Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.8353,96.1829,,4.9,37,,Yangon,"Name: 16 Yadanar Market. Category: Market. Address: 16\1 Ward (TGGN), Thingangyun. Township: Thingangyun. District: Yangon East"
1789,3 Star,သရီးစတား,Café/Pub,ဘားနှင့် ဖျော်ဖြေရေး,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.829068,96.200971,,4.9,577,,Yangon,Name: 3 Star (သရီးစတား). Category: Café/Pub. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1830,360 Petro,၃၆၀ ပက်ထရို,Petrol Station,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.833613,96.196106,,4,100,,Yangon,Name: 360 Petro (၃၆၀ ပက်ထရို). Category: Petrol Station. Address: Thingangyun. Township: Thingangyun. District: Yangon East
147,360 Petro,၃၆၀ပက်ထရို,Petrol Station,အထွေထွေအမျိုးအစား,30,30,"30 Lay Daung Kan Road, Lay Daunkan Ward, Thingangyun, Yangon","၃၀, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.83344,96.195997,,4.7,451,,Yangon,"Name: 360 Petro (၃၆၀ပက်ထရို). Category: Petrol Station. House Number: 30. Address: ၃၀, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
369,369,သုံးခြောက်ကိုး,Restaurant (Beer Pub),ဘားနှင့် ဖျော်ဖြေရေး,1-Oct,1^10,"1/10 Than Thu Mar Road, Ward-29 Thuwunna, Thingangyun, Yangon","၁^၁၀, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၉)ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.821447,96.203578,,4.9,517,,Yangon,"Name: 369 (သုံးခြောက်ကိုး). Category: Restaurant (Beer Pub). House Number: 1-Oct. Address: ၁^၁၀, သံသုမာလမ်း, သု၀ဏ္ဏ(၂၉)ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
410,369 Restaurant,369 Restaurant,Restaurant,စားသောက်ဆိုင်,,,"Mikyaung Kan (1) Ward (TGGN), Thingangyun","Mikyaung Kan (1) Ward (TGGN), Thingangyun",Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.8218,96.1818,,4,40,,Yangon,"Name: 369 Restaurant. Category: Restaurant. Address: Mikyaung Kan (1) Ward (TGGN), Thingangyun. Township: Thingangyun. District: Yangon East"
967,5Star,ဖိုက်ဗ်စတား,Pharmacy,ဆေးဆိုင်,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.828517,96.197493,,4.7,511,,Yangon,Name: 5Star (ဖိုက်ဗ်စတား). Category: Pharmacy. Address: Thingangyun. Township: Thingangyun. District: Yangon East
809,7 Mart,ဆဲလ်ဗင်းမတ်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.815194,96.192073,,4.9,37,,Yangon,Name: 7 Mart (ဆဲလ်ဗင်းမတ်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
40,7 Street,ရလမ်း,Pre School,ကျောင်းနှင့် တက္ကသိုလ်,294,294,"294 Ngamoeyeik 7th Street, Nga Moe Yeik Ward, Thingangyun, Yangon","၂၉၄, ငမိုးရိပ်၇လမ်း, ငမိုးရိပ်ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.843803,96.20243,,4,130,,Yangon,"Name: 7 Street (ရလမ်း). Category: Pre School. House Number: 294. Address: ၂၉၄, ငမိုးရိပ်၇လမ်း, ငမိုးရိပ်ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
1316,7-Day,ဆဲဗင်းဒေး,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.825279,96.196833,,4.6,358,,Yangon,Name: 7-Day (ဆဲဗင်းဒေး). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
411,8 DAY HOTEL,8 DAY HOTEL,Hotel,ဟိုတယ်နှင့် တည်းခိုခန်း,,,"No.299,Waizayandar Road,16\3 Ward (TGGN),Thingangyun","No.299,Waizayandar Road,16\3 Ward (TGGN),Thingangyun",Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.8301,96.1797,,4.1,43,,Yangon,"Name: 8 DAY HOTEL. Category: Hotel. Address: No.299,Waizayandar Road,16\3 Ward (TGGN),Thingangyun. Township: Thingangyun. District: Yangon East"
58,8 Days Hotel,အိတ်ဒေးစ်ဟိုတယ်,Hotel,ဟိုတယ်နှင့် တည်းခိုခန်း,299,299,"299 Wai Za Yan Tar Road, Ward-16\3, Thingangyun, Yangon","၂၉၉, ၀ေဇယန္တာလမ်း, (၁၆^၃)ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.8301,96.1797,,4.8,184,,Yangon,"Name: 8 Days Hotel (အိတ်ဒေးစ်ဟိုတယ်). Category: Hotel. House Number: 299. Address: ၂၉၉, ၀ေဇယန္တာလမ်း, (၁၆^၃)ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
1831,8888 Museum,၈၈၈၈ သမိုင်းပြတိုက်(ယာယီ),Museum,ပြတိုက်နှင့် ယဉ်ကျေးမှု,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.835696,96.186534,,4.1,103,,Yangon,Name: 8888 Museum (၈၈၈၈ သမိုင်းပြတိုက်(ယာယီ)). Category: Museum. Address: Thingangyun. Township: Thingangyun. District: Yangon East
798,9 Star,နိုင်းစတား,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.827895,96.209329,,4.8,604,,Yangon,Name: 9 Star (နိုင်းစတား). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
